event_id,split,household_id,campaign_id,coupon_start_date,predicted_purchase_time,rank,product_id,product_name,department,product_category,brand,final_score,success_within_5d_observed,observed_purchase_time,coupon_eligible,fusion_source
955_19_20171115,test,955,19,2017-11-15,2017-11-20T00:00:00,1,900391,National / BABY FOODS / BABY FOOD - BEGINNER,DRUG GM,BABY FOODS,National,1.0,True,2017-11-15T02:18:38,True,primary_head
955_19_20171115,test,955,19,2017-11-15,2017-11-20T00:00:00,2,15596467,National / BABY FOODS / BABY FOOD - BEGINNER,DRUG GM,BABY FOODS,National,0.99446845,False,,True,primary_head
955_19_20171115,test,955,19,2017-11-15,2017-11-20T00:00:00,3,15596769,National / BABY FOODS / BABY FOOD - BEGINNER,DRUG GM,BABY FOODS,National,0.99446845,True,2017-11-15T02:18:38,True,primary_head
955_19_20171115,test,955,19,2017-11-15,2017-11-20T00:00:00,4,15596959,National / BABY FOODS / BABY FOOD - BEGINNER,DRUG GM,BABY FOODS,National,0.99446845,True,2017-11-15T02:18:38,True,primary_head
955_19_20171115,test,955,19,2017-11-15,2017-11-20T00:00:00,5,1113462,National / BABY FOODS / BABY FOOD - BEGINNER,DRUG GM,BABY FOODS,National,0.83257467,False,,True,primary_head
955_19_20171115,test,955,19,2017-11-15,2017-11-20T00:00:00,6,1000672,National / BABY FOODS / BABY FOOD - BEGINNER,DRUG GM,BABY FOODS,National,0.75787324,True,2017-11-15T02:18:38,True,primary_head
955_19_20171115,test,955,19,2017-11-15,2017-11-20T00:00:00,7,914872,National / BABY FOODS / BABY FOOD - BEGINNER,DRUG GM,BABY FOODS,National,0.75388974,False,,True,primary_head
955_19_20171115,test,955,19,2017-11-15,2017-11-20T00:00:00,8,15596771,National / BABY FOODS / BABY FOOD - BEGINNER,DRUG GM,BABY FOODS,National,0.75388974,False,,True,primary_head
955_19_20171115,test,955,19,2017-11-15,2017-11-20T00:00:00,9,986121,National / BABY FOODS / BABY FOOD - BEGINNER,DRUG GM,BABY FOODS,National,0.7914812,False,,True,secondary_tail
955_19_20171115,test,955,19,2017-11-15,2017-11-20T00:00:00,10,1112212,National / BABY FOODS / BABY FOOD - BEGINNER,DRUG GM,BABY FOODS,National,0.7914812,False,,True,secondary_tail
